date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:29:40	77986/77986	---M-Z	200	added ('OK')	text/html	etag:%22130a2-6349e3c031b0a-gzip%22	https://shreethemes.in/orderit/layouts/index.html	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/index.html	(from )
14:29:40	277/277	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Jan%202026%2008:59:40%20GMT	https://shreethemes.in/robots.txt		(from )
14:29:41	2672/2672	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22a70-6349e3bfffe26%22	https://shreethemes.in/orderit/layouts/assets/images/favicon.ico	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/favicon.ico	(from https://shreethemes.in/orderit/layouts/index.html)
14:29:41	2178/2178	---M-Z	200	added ('OK')	text/css	etag:%22882-6349e3c031b0a-gzip%22	https://shreethemes.in/orderit/layouts/assets/libs/tiny-slider/tiny-slider.css	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/libs/tiny-slider/tiny-slider.css	(from https://shreethemes.in/orderit/layouts/index.html)
14:29:42	301077/301077	---M-Z	200	added ('OK')	text/css	etag:%2249815-6349e3bfe96c4-gzip%22	https://shreethemes.in/orderit/layouts/assets/css/bootstrap.min.css	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/css/bootstrap.min.css	(from https://shreethemes.in/orderit/layouts/index.html)
14:29:43	149234/149234	---M-Z	200	added ('OK')	text/css	etag:%22246f2-6349e3c001d66-gzip%22	https://shreethemes.in/orderit/layouts/assets/libs/remixicon/fonts/remixicon.css	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/libs/remixicon/fonts/remixicon.css	(from https://shreethemes.in/orderit/layouts/index.html)
14:29:43	33048/33048	---M-Z	200	added ('OK')	text/css	etag:%228118-6349e3bfeb604-gzip%22	https://shreethemes.in/orderit/layouts/assets/css/style.min.css	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/css/style.min.css	(from https://shreethemes.in/orderit/layouts/index.html)
14:29:43	2581/2581	---M--	200	added ('OK')	image/png	etag:%22a15-6349e3bfffe26%22	https://shreethemes.in/orderit/layouts/assets/images/logo-dark.png	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/logo-dark.png	(from https://shreethemes.in/orderit/layouts/index.html)
14:29:43	2571/2571	---M--	200	added ('OK')	image/png	etag:%22a0b-6349e3bfffe26%22	https://shreethemes.in/orderit/layouts/assets/images/logo-light.png	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/logo-light.png	(from https://shreethemes.in/orderit/layouts/index.html)
14:29:45	248202/248202	---M--	200	added ('OK')	image/jpeg	etag:%223c98a-6349e3bffdee6%22	https://shreethemes.in/orderit/layouts/assets/images/dishes/chicken-nuggets-with-french-fries.jpg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/dishes/chicken-nuggets-with-french-fries.jpg	(from https://shreethemes.in/orderit/layouts/index.html)
14:29:45	101176/101176	---M--	200	added ('OK')	image/jpeg	etag:%2218b38-6349e3bffee86%22	https://shreethemes.in/orderit/layouts/assets/images/dishes/farfalle-pasta-with-meatballs.jpg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/dishes/farfalle-pasta-with-meatballs.jpg	(from https://shreethemes.in/orderit/layouts/index.html)
14:29:46	51650/51650	---M--	200	added ('OK')	image/jpeg	etag:%22c9c2-6349e3bffcf46%22	https://shreethemes.in/orderit/layouts/assets/images/client/1.jpg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/client/1.jpg	(from https://shreethemes.in/orderit/layouts/index.html)
14:29:46	58930/58930	---M--	200	added ('OK')	image/jpeg	etag:%22e632-6349e3bffdee6%22	https://shreethemes.in/orderit/layouts/assets/images/dishes/delicious-burger.jpg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/dishes/delicious-burger.jpg	(from https://shreethemes.in/orderit/layouts/index.html)
14:29:46	78398/78398	---M-Z	200	added ('OK')	text/html	etag:%221323e-6349e3c031b0a-gzip%22	https://shreethemes.in/orderit/layouts/index-two.html	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/index-two.html	(from https://shreethemes.in/orderit/layouts/index.html)
14:29:46	79866/79866	---M-Z	200	added ('OK')	text/html	etag:%22137fa-6349e3c031b0a-gzip%22	https://shreethemes.in/orderit/layouts/index-three.html	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/index-three.html	(from https://shreethemes.in/orderit/layouts/index.html)
14:29:47	46492/46492	---M-Z	200	added ('OK')	text/html	etag:%22b59c-6349e3c031b0a-gzip%22	https://shreethemes.in/orderit/layouts/shop-menu.html	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/shop-menu.html	(from https://shreethemes.in/orderit/layouts/index.html)
14:29:47	27146/27146	---M-Z	200	added ('OK')	text/html	etag:%226a0a-6349e3c031b0a-gzip%22	https://shreethemes.in/orderit/layouts/shop-item-detail.html	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/shop-item-detail.html	(from https://shreethemes.in/orderit/layouts/index.html)
14:29:48	34465/34465	---M-Z	200	added ('OK')	text/html	etag:%2286a1-6349e3c031b0a-gzip%22	https://shreethemes.in/orderit/layouts/shop-cart.html	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/shop-cart.html	(from https://shreethemes.in/orderit/layouts/index.html)
14:29:48	40573/40573	---M-Z	200	added ('OK')	text/html	etag:%229e7d-6349e3c031b0a-gzip%22	https://shreethemes.in/orderit/layouts/shop-checkouts.html	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/shop-checkouts.html	(from https://shreethemes.in/orderit/layouts/index.html)
14:29:48	46877/46877	---M-Z	200	added ('OK')	text/html	etag:%22b71d-6349e3c031b0a-gzip%22	https://shreethemes.in/orderit/layouts/shop-myaccount.html	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/shop-myaccount.html	(from https://shreethemes.in/orderit/layouts/index.html)
14:29:49	41791/41791	---M-Z	200	added ('OK')	text/html	etag:%22a33f-6349e3c031b0a-gzip%22	https://shreethemes.in/orderit/layouts/offers.html	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/offers.html	(from https://shreethemes.in/orderit/layouts/index.html)
14:29:49	50468/50468	---M-Z	200	added ('OK')	text/html	etag:%22c524-6349e3c031b0a-gzip%22	https://shreethemes.in/orderit/layouts/restaurants.html	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/restaurants.html	(from https://shreethemes.in/orderit/layouts/index.html)
14:29:49	30806/30806	---M-Z	200	added ('OK')	text/html	etag:%227856-6349e3c031b0a-gzip%22	https://shreethemes.in/orderit/layouts/single-restaurant.html	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/single-restaurant.html	(from https://shreethemes.in/orderit/layouts/index.html)
14:29:50	44255/44255	---M-Z	200	added ('OK')	text/html	etag:%22acdf-6349e3c031b0a-gzip%22	https://shreethemes.in/orderit/layouts/blogs.html	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/blogs.html	(from https://shreethemes.in/orderit/layouts/index.html)
